Keygen,Encrypt,Decrypt
8.955,13.32,21.338
8.929,13.358,21.298
8.984,13.378,21.435
8.977,13.466,21.417
8.974,13.438,21.429
8.989,13.481,21.488
8.979,13.466,21.415
8.967,13.402,21.334
9.028,13.426,21.425
8.954,13.379,21.346
8.955,13.374,21.33
8.987,13.477,21.478
8.953,13.382,21.36
8.948,13.352,21.358
8.975,13.4,21.383
8.931,13.383,21.315
9.003,13.392,21.375
9.023,13.458,21.488
8.929,13.366,21.305
8.995,13.444,21.381
8.96,13.392,21.319
9.005,13.432,21.347
9.009,13.421,21.336
8.981,13.398,21.371
8.966,13.354,21.373
8.956,13.387,21.32
8.95,13.37,21.291
8.936,13.374,21.347
8.935,13.384,21.28
8.973,13.378,21.344
